21	 l	1.695945945945946,5.527027027027027,8.04054054054054,9.79054054054054,5.398648648648648,1.0067567567567568,8.60135135135135,11.905405405405405,11.972972972972974,4.918918918918919,0.06756756756756757,6.351351351351352,11.97972972972973,11.925675675675675,4.277027027027027,0.013513513513513514,6.304054054054054,12.013513513513514,11.89864864864865,4.898648648648648,2.891891891891892,10.16891891891892,11.41891891891892,11.41891891891892,14.932432432432432,4.452702702702703,4.20945945945946,2.641891891891892,2.6824324324324325,4.472972972972973,11.574324324324325,12.89864864864865,14.283783783783784,14.89864864864865,14.364864864864865,2.8513513513513513,2.641891891891892,2.5,2.5472972972972974,5.364864864864865,12.5,12.885135135135135,12.83108108108108,12.878378378378379,13.0,5.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,7.0
22	 e	0.19318181818181818,12.267045454545455,18.829545454545453,24.011363636363637,16.494318181818183,12.647727272727273,21.613636363636363,3.25,18.267045454545453,17.5,21.693181818181817,25.267045454545453,9.113636363636363,0.9715909090909091,0.045454545454545456,17.960227272727273,27.65340909090909,4.380681818181818,0.07386363636363637,0.03977272727272727,3.2443181818181817,21.642045454545453,27.164772727272727,20.53409090909091,10.431818181818182,5.840909090909091,8.971590909090908,9.954545454545455,9.573863636363637,7.795454545454546,8.5,12.477272727272727,13.602272727272727,13.630681818181818,13.153409090909092,13.0,13.278409090909092,3.346590909090909,0.6022727272727273,11.176136363636363,10.454545454545455,13.681818181818182,14.346590909090908,14.278409090909092,13.698863636363637,4.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,6.0
23	 r	10.192307692307692,19.641025641025642,13.75,12.429487179487179,29.474358974358974,9.717948717948717,24.384615384615383,22.96153846153846,12.032051282051283,19.974358974358974,2.8653846153846154,24.08974358974359,19.80128205128205,0.12179487179487179,0.08974358974358974,3.9871794871794872,24.243589743589745,20.435897435897434,0.28846153846153844,0.0,14.551282051282051,24.487179487179485,23.80128205128205,11.102564102564102,0.0,8.115384615384615,8.076923076923077,5.576923076923077,5.897435897435898,8.070512820512821,11.820512820512821,12.955128205128204,12.923076923076923,12.006410256410257,12.942307692307692,12.41025641025641,12.378205128205128,1.6282051282051282,1.7435897435897436,5.038461538461538,15.038461538461538,15.044871794871796,15.044871794871796,15.01923076923077,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0
24	 c	0.1015625,7.1328125,16.2421875,18.765625,32.0,7.71875,22.7109375,7.984375,2.609375,14.609375,16.890625,22.5546875,3.7421875,0.4296875,0.0078125,14.53125,23.9140625,14.9453125,1.265625,0.40625,2.375,16.8203125,23.0703125,21.3515625,27.8359375,5.4765625,8.453125,9.125,8.8515625,7.4140625,7.765625,12.203125,14.0234375,14.28125,14.2734375,11.6875,11.4609375,0.3828125,2.1796875,11.09375,9.4296875,12.9375,13.625,13.6796875,13.4921875,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,7.0
25	 $	7.5,23.085714285714285,20.557142857142857,32.84285714285714,28.857142857142858,26.15714285714286,27.87142857142857,26.65714285714286,28.885714285714286,38.84285714285714,31.885714285714286,7.3428571428571425,10.542857142857143,19.957142857142856,2.142857142857143,33.65714285714286,3.5714285714285716,5.5,30.542857142857144,0.4,12.7,43.0,41.32857142857143,10.1,0.0,14.971428571428572,18.685714285714287,18.771428571428572,18.728571428571428,15.914285714285715,10.342857142857143,12.185714285714285,12.371428571428572,12.32857142857143,12.67142857142857,23.2,23.142857142857142,12.471428571428572,11.67142857142857,8.414285714285715,13.3,15.228571428571428,15.228571428571428,12.742857142857142,1.2714285714285714,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0
26	 o	4.7593984962406015,23.548872180451127,24.30075187969925,28.037593984962406,10.330827067669173,24.42105263157895,8.849624060150376,0.7142857142857143,21.616541353383457,33.89473684210526,29.18045112781955,8.511278195488721,0.0,6.135338345864661,37.3984962406015,27.270676691729324,24.18045112781955,1.1729323308270676,3.706766917293233,33.88721804511278,9.578947368421053,31.706766917293233,28.1203007518797,27.76691729323308,13.789473684210526,11.571428571428571,14.082706766917294,14.18796992481203,14.142857142857142,12.496240601503759,11.609022556390977,14.0,14.097744360902256,14.075187969924812,12.834586466165414,11.308270676691729,13.774436090225564,13.917293233082706,13.8796992481203,11.736842105263158,11.827067669172932,13.81203007518797,13.902255639097744,13.834586466165414,12.285714285714286,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,4.0,5.0
27	 UpperG	3.3737373737373737,23.454545454545453,30.818181818181817,25.606060606060606,17.626262626262626,25.92929292929293,23.515151515151516,5.424242424242424,33.121212121212125,43.5959595959596,32.656565656565654,17.545454545454547,0.0707070707070707,18.838383838383837,30.848484848484848,23.08080808080808,31.292929292929294,3.0707070707070705,20.87878787878788,22.07070707070707,1.6161616161616161,23.383838383838384,27.91919191919192,16.595959595959595,2.01010101010101,12.232323232323232,15.484848484848484,15.767676767676768,15.222222222222221,11.070707070707071,9.04040404040404,11.575757575757576,12.141414141414142,11.868686868686869,9.969696969696969,17.08080808080808,17.343434343434343,13.808080808080808,13.434343434343434,9.282828282828282,10.616161616161616,15.595959595959595,15.262626262626263,13.535353535353535,10.505050505050505,3.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0
28	 o	2.0615384615384613,18.73076923076923,22.823076923076922,24.79230769230769,19.9,20.023076923076925,17.184615384615384,1.3461538461538463,11.646153846153846,46.87692307692308,24.092307692307692,15.753846153846155,0.3230769230769231,0.6692307692307692,43.56153846153846,22.084615384615386,27.93846153846154,7.361538461538461,2.6307692307692307,40.292307692307695,4.346153846153846,22.3,29.184615384615384,26.592307692307692,21.7,10.838461538461539,13.423076923076923,13.438461538461539,13.430769230769231,11.638461538461538,10.46923076923077,13.830769230769231,14.0,14.0,13.753846153846155,10.615384615384615,13.092307692307692,13.1,13.084615384615384,11.046153846153846,10.423076923076923,13.53076923076923,13.984615384615385,13.961538461538462,13.169230769230769,0.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0
29	 y	8.018867924528301,15.50943396226415,7.811320754716981,4.037735849056604,22.39622641509434,1.7169811320754718,12.50943396226415,11.49056603773585,5.0754716981132075,13.0,0.0,3.6037735849056602,16.754716981132077,13.754716981132075,3.150943396226415,0.0,1.0566037735849056,15.30188679245283,6.528301886792453,0.16981132075471697,0.05660377358490566,9.754716981132075,16.18867924528302,2.7358490566037736,0.0,7.735849056603773,5.6415094339622645,3.2641509433962264,2.4339622641509435,4.773584905660377,10.849056603773585,11.056603773584905,10.773584905660377,8.18867924528302,11.09433962264151,9.245283018867925,6.754716981132075,4.09433962264151,1.9433962264150944,1.0188679245283019,0.6037735849056604,16.81132075471698,16.830188679245282,12.471698113207546,1.2830188679245282,0.0,0.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0
30	 f	0.022727272727272728,6.090909090909091,9.988636363636363,8.545454545454545,17.34090909090909,4.5227272727272725,17.079545454545453,1.4090909090909092,0.0,0.20454545454545456,9.318181818181818,17.272727272727273,1.1363636363636365,0.0,0.0,6.25,17.204545454545453,0.9886363636363636,0.0,0.0,8.727272727272727,17.636363636363637,6.420454545454546,0.0,0.0,2.1136363636363638,3.375,4.2272727272727275,3.4431818181818183,4.215909090909091,6.556818181818182,11.386363636363637,13.147727272727273,13.193181818181818,13.181818181818182,9.988636363636363,1.1363636363636365,0.11363636363636363,0.13636363636363635,1.9886363636363635,14.761363636363637,14.795454545454545,14.761363636363637,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
